Total num envs, sample-factory, rlpyt, rllib, scalable-agent, seel-rl
20,16985,16268,10676,6615,11443
40,24809,23688,12556,6776,14537
80,37300,26448,12472,7041,19705
160,47913,31660,13444,6669,22059
320,55772,38908,11500,,22733
640,59525,41940,11868,,
