Total num envs, sample-factory, rlpyt, rllib, scalable-agent, seel-rl
72,37061,24520,19148,9661,25400
144,59610,33544,20960,8826,33425
288,81247,39920,20440,8602,39500
576,95555,53112,19328,,39726
1152,120355,61984,19360,,
1728,135893,68880,22440,,
