Total num envs, sample-factory, rlpyt, rllib, scalable-agent, seel-rl
20,8183,9028,7736,6179,6747
40,11792,10852,9224,5943,10293
80,12903,11376,9948,6133,11262
160,13040,11560,11644,6448,11191
320,13869,12280,11516,,10604
640,14746,12400,,,
