Total num envs, sample-factory, rlpyt, rllib, scalable-agent, seel-rl
72,26421,22700,12536,8782,22814
144,37088,24140,13084,8622,30354
288,41781,29180,13932,8491,32149
576,42149,29424,,,34773
1152,41383,32652,,,
1728,41784,32948,,,
