Total num envs, sample-factory, rlpyt, rllib, scalable-agent, seel-rl
20,17544,13312,10808,6350,11347
40,25307,17764,13596,6470,15734
80,35287,21772,17744,6709,20715
160,41497,27240,20236,6880,24906
320,44525,31408,21192,,26149
640,45520,35272,18232,,
